# CIER Log - 2025-12-17 09:28:52
# Port: /dev/ttyUSB0 @ 19200 baud
# Time source: Iridium
#
[2025-12-17 09:28:54.723] +CIEV:0,3
[2025-12-17 09:28:54.724] +CIEV:1,1
[2025-12-17 09:28:54.725] +CIEV:2,0
[2025-12-17 09:28:54.728] +CIEV:3,85,4,1,5880,-1308,3856
[2025-12-17 09:28:55.460] +CIEV:3,85,4,0,4572,-296,4424
[2025-12-17 09:28:59.778] +CIEV:3,85,4,1,5916,-1316,3800
[2025-12-17 09:29:04.097] +CIEV:3,85,4,0,4608,-308,4384
[2025-12-17 09:29:08.416] +CIEV:3,85,4,1,5948,-1320,3748
[2025-12-17 09:29:12.735] +CIEV:3,85,4,0,4648,-308,4344
[2025-12-17 09:29:26.587] +CIEV:3,65,40,0,4388,468,4588
[2025-12-17 09:29:27.755] +CIEV:3,85,1,0,4596,-580,4368
[2025-12-17 09:29:32.074] +CIEV:3,85,1,1,6036,-1340,3596
[2025-12-17 09:29:32.096] +CIEV:0,4
[2025-12-17 09:29:36.400] +CIEV:3,85,1,0,4636,-592,4328
[2025-12-17 09:29:40.725] +CIEV:3,85,1,1,6068,-1344,3540
[2025-12-17 09:29:45.044] +CIEV:3,85,1,0,4672,-600,4288
[2025-12-17 09:29:49.363] +CIEV:3,85,1,1,6100,-1352,3484
[2025-12-17 09:29:53.682] +CIEV:3,85,1,0,4708,-604,4244
[2025-12-17 09:29:53.683] +CIEV:0,3
[2025-12-17 09:29:58.001] +CIEV:3,85,1,1,6132,-1356,3428
[2025-12-17 09:30:02.320] +CIEV:3,85,1,0,4744,-616,4204
[2025-12-17 09:30:06.639] +CIEV:3,85,1,1,6160,-1364,3372
[2025-12-17 09:30:10.957] +CIEV:3,85,1,0,4780,-620,4164
[2025-12-17 09:30:15.269] +CIEV:0,2
[2025-12-17 09:30:19.595] +CIEV:3,85,1,0,4816,-624,4120
[2025-12-17 09:30:23.914] +CIEV:3,85,1,1,6220,-1376,3256
[2025-12-17 09:30:28.233] +CIEV:3,85,1,0,4860,-632,4068
[2025-12-17 09:30:32.552] +CIEV:3,85,1,1,6248,-1380,3200
[2025-12-17 09:30:36.871] +CIEV:3,85,1,0,4892,-644,4028
[2025-12-17 09:30:45.509] +CIEV:3,85,1,0,4928,-648,3984
[2025-12-17 09:31:01.263] +CIEV:3,87,25,0,4216,96,4768
[2025-12-17 09:31:02.792] +CIEV:0,0
[2025-12-17 09:31:05.582] +CIEV:3,87,25,1,3708,-1100,6012
[2025-12-17 09:31:05.583] +CIEV:0,1
[2025-12-17 09:31:09.901] +CIEV:3,87,25,0,4260,88,4732
[2025-12-17 09:31:14.220] +CIEV:3,87,25,1,3760,-1108,5980
[2025-12-17 09:31:18.539] +CIEV:3,87,25,0,4300,76,4696
[2025-12-17 09:31:22.858] +CIEV:3,87,25,1,3812,-1120,5944
[2025-12-17 09:31:27.177] +CIEV:3,87,25,0,4340,68,4656
[2025-12-17 09:31:27.178] +CIEV:0,2
[2025-12-17 09:31:31.496] +CIEV:3,87,25,1,3864,-1128,5908
[2025-12-17 09:31:31.498] +CIEV:0,1
[2025-12-17 09:31:35.815] +CIEV:3,87,25,0,4380,60,4620
[2025-12-17 09:31:51.651] +CIEV:3,87,29,1,3988,-1152,5820
[2025-12-17 09:31:52.276] +CIEV:3,87,7,1,3992,-1156,5820
[2025-12-17 09:31:53.091] +CIEV:3,87,25,0,4468,48,4536
[2025-12-17 09:31:53.092] +CIEV:0,3
[2025-12-17 09:31:55.970] +CIEV:3,87,29,0,3980,-516,4940
[2025-12-17 09:31:56.595] +CIEV:3,87,7,0,4304,232,4688
[2025-12-17 09:32:00.289] +CIEV:3,87,29,1,4036,-1164,5784
[2025-12-17 09:32:00.304] +CIEV:0,2
[2025-12-17 09:32:04.608] +CIEV:3,87,29,0,4024,-524,4904
[2025-12-17 09:32:04.623] +CIEV:0,3
[2025-12-17 09:32:08.927] +CIEV:3,87,29,1,4088,-1176,5748
[2025-12-17 09:32:13.247] +CIEV:3,87,29,0,4072,-536,4864
[2025-12-17 09:32:13.261] +CIEV:0,4
[2025-12-17 09:32:17.566] +CIEV:3,87,29,1,4140,-1184,5708
[2025-12-17 09:32:21.885] +CIEV:3,87,29,0,4116,-540,4828
[2025-12-17 09:32:26.204] +CIEV:3,87,29,1,4188,-1196,5668
[2025-12-17 09:32:30.523] +CIEV:3,87,29,0,4156,-556,4792
[2025-12-17 09:32:30.538] +CIEV:0,3
[2025-12-17 09:32:34.840] +CIEV:0,2
[2025-12-17 09:32:45.913] +CIEV:3,87,5,0,4084,436,4864
[2025-12-17 09:32:47.093] +CIEV:3,87,12,0,3952,-264,4984
[2025-12-17 09:32:47.623] +CIEV:3,87,14,0,3720,-464,5144
[2025-12-17 09:32:47.807] +CIEV:0,5
[2025-12-17 09:32:51.413] +CIEV:3,87,12,1,4332,-1224,5552
[2025-12-17 09:32:55.732] +CIEV:3,87,12,0,3996,-272,4948
[2025-12-17 09:33:00.051] +CIEV:3,87,12,1,4384,-1236,5512
[2025-12-17 09:33:04.370] +CIEV:3,87,12,0,4048,-284,4904
[2025-12-17 09:33:08.689] +CIEV:3,87,12,1,4432,-1244,5472
[2025-12-17 09:33:13.008] +CIEV:3,87,12,0,4088,-292,4868
[2025-12-17 09:33:17.327] +CIEV:3,87,12,1,4480,-1256,5432
[2025-12-17 09:33:21.646] +CIEV:3,87,12,0,4132,-296,4836
[2025-12-17 09:33:25.966] +CIEV:3,87,12,1,4528,-1264,5388
[2025-12-17 09:33:30.285] +CIEV:3,87,12,0,4172,-308,4796
[2025-12-17 09:33:34.604] +CIEV:3,87,12,1,4576,-1276,5344
[2025-12-17 09:33:38.923] +CIEV:3,87,12,0,4216,-316,4760
[2025-12-17 09:33:43.242] +CIEV:3,87,12,1,4620,-1284,5304
[2025-12-17 09:33:47.561] +CIEV:3,87,12,0,4256,-328,4724
[2025-12-17 09:33:51.881] +CIEV:3,87,12,1,4668,-1296,5260
[2025-12-17 09:33:56.212] +CIEV:3,87,12,0,4296,-332,4688
[2025-12-17 09:33:56.234] +CIEV:0,4
[2025-12-17 09:34:00.532] +CIEV:3,87,12,1,4712,-1304,5216
[2025-12-17 09:34:04.851] +CIEV:3,87,12,0,4336,-340,4648
[2025-12-17 09:34:04.873] +CIEV:0,3
[2025-12-17 09:34:09.184] +CIEV:3,87,12,1,4760,-1316,5172
[2025-12-17 09:34:13.503] +CIEV:3,87,12,0,4376,-352,4612
[2025-12-17 09:34:17.822] +CIEV:3,87,12,1,4804,-1324,5128
[2025-12-17 09:34:22.141] +CIEV:3,87,12,0,4424,-364,4564
[2025-12-17 09:34:22.143] +CIEV:0,4
[2025-12-17 09:34:26.461] +CIEV:3,87,12,1,4852,-1332,5084
[2025-12-17 09:34:26.462] +CIEV:0,3
[2025-12-17 09:34:30.780] +CIEV:3,87,12,0,4464,-368,4528
[2025-12-17 09:34:35.099] +CIEV:3,87,12,1,4896,-1344,5036
[2025-12-17 09:34:39.418] +CIEV:3,87,12,0,4500,-380,4488
[2025-12-17 09:34:43.738] +CIEV:3,87,12,1,4940,-1352,4992
[2025-12-17 09:34:57.239] +CIEV:3,87,14,0,4364,-604,4596
[2025-12-17 09:34:58.502] +CIEV:3,87,10,1,5012,-1368,4912
[2025-12-17 09:34:58.855] +CIEV:3,87,25,1,5016,-1368,4912
[2025-12-17 09:34:59.031] +CIEV:3,87,8,1,5016,-1368,4908
[2025-12-17 09:35:00.118] +CIEV:3,87,2,1,5020,-1372,4904
